species,X,Y,geometry
Haliaeetus leucocephalus,1194520.6098075493,383528.6003000345,"c(1194520.60980755, 383528.600300035)"
Haliaeetus leucocephalus,1193354.7868802582,390877.0861532072,"c(1193354.78688026, 390877.086153207)"
Haliaeetus leucocephalus,1295497.9071033406,480769.1480582032,"c(1295497.90710334, 480769.148058203)"
Haliaeetus leucocephalus,1021866.334749157,447666.0393176749,"c(1021866.33474916, 447666.039317675)"
Haliaeetus leucocephalus,1474730.4150027558,470904.64561819687,"c(1474730.41500276, 470904.645618197)"
Haliaeetus leucocephalus,1215022.505933371,574065.0511105086,"c(1215022.50593337, 574065.051110509)"
Haliaeetus leucocephalus,1364977.7592047597,648087.3227148679,"c(1364977.75920476, 648087.322714868)"
Haliaeetus leucocephalus,1129365.6231879524,477651.01969521964,"c(1129365.62318795, 477651.01969522)"
Haliaeetus leucocephalus,1629862.7846099432,535079.0499525163,"c(1629862.78460994, 535079.049952516)"
Haliaeetus leucocephalus,907621.3060376362,1086246.5692783317,"c(907621.306037636, 1086246.56927833)"
Haliaeetus leucocephalus,1321127.5678237623,726673.2078906987,"c(1321127.56782376, 726673.207890699)"
Haliaeetus leucocephalus,1741894.0765152355,554138.2521549488,"c(1741894.07651524, 554138.252154949)"
Haliaeetus leucocephalus,1792521.68172092,514006.31123694946,"c(1792521.68172092, 514006.311236949)"
Haliaeetus leucocephalus,1210170.1209794693,455879.7279389063,"c(1210170.12097947, 455879.727938906)"
Haliaeetus leucocephalus,1457907.481464734,675409.3439485163,"c(1457907.48146473, 675409.343948516)"
Haliaeetus leucocephalus,1086776.2615058422,405762.6453974705,"c(1086776.26150584, 405762.64539747)"
Haliaeetus leucocephalus,1263079.3791298624,826544.8292168102,"c(1263079.37912986, 826544.82921681)"
Haliaeetus leucocephalus,1211792.8276302922,466251.04730774276,"c(1211792.82763029, 466251.047307743)"
Haliaeetus leucocephalus,1305969.660622663,471952.2011165558,"c(1305969.66062266, 471952.201116556)"
Haliaeetus leucocephalus,1193250.8611579102,390844.04430722207,"c(1193250.86115791, 390844.044307222)"
Haliaeetus leucocephalus,1246102.0723756165,459646.2991835336,"c(1246102.07237562, 459646.299183534)"
Haliaeetus leucocephalus,1213852.7333084492,455270.65421942394,"c(1213852.73330845, 455270.654219424)"
Haliaeetus leucocephalus,1583035.7022646414,614044.6945408649,"c(1583035.70226464, 614044.694540865)"
